bin,n_bin,event_rate,mean_p,brier_bin,ece_bin
0,21,0.09523809523809523,0.0148148148148148,0.09166372721928277,0.08042328042328044
1,18,0.16666666666666666,0.07547564221376318,0.14686244077586336,0.09119102445290347
2,35,0.05714285714285714,0.0950593060821557,0.05559741232163618,0.037916448939298554
3,3,0.0,0.10344284972152357,0.010706358167945844,0.10344284972152357
4,19,0.0,0.10933231636716989,0.011955680622690546,0.10933231636716989
5,19,0.10526315789473684,0.1222486739818953,0.09388054054416582,0.016985516087158467
6,19,0.05263157894736842,0.14976685770445547,0.05838648638636189,0.09713527875708705
7,19,0.15789473684210525,0.22344736146426744,0.14659794188764846,0.06555262462216219
8,19,0.47368421052631576,0.3387686154308915,0.2756249309231183,0.13491559509542428
9,19,0.631578947368421,0.6408853868803485,0.1974950938036806,0.009306439511927445
