bin,mean_p,mean_y,n_bin,weight,abs_diff,ece_term
0,0.6067747226251556,0.48484848484848486,33,0.1,0.12192623777667078,0.012192623777667078
1,0.749364638625904,0.8235294117647058,34,0.10303030303030303,0.07416477313880188,0.007641219050664436
2,0.7948759889832824,0.84375,32,0.09696969696969697,0.04887401101671762,0.004739298037984739
3,0.8143776816848409,0.9090909090909091,33,0.1,0.09471322740606813,0.009471322740606814
4,0.8245407558118598,0.8181818181818182,33,0.1,0.006358937630041583,0.0006358937630041583
5,0.8345477476708759,0.9393939393939394,33,0.1,0.10484619172306353,0.010484619172306354
6,0.857581164301644,0.8181818181818182,33,0.1,0.03939934611982576,0.0039399346119825766
7,0.885941911106399,0.9714285714285714,35,0.10606060606060606,0.08548666032217245,0.009066767003866775
8,0.9203135122855504,1.0,32,0.09696969696969697,0.07968648771444964,0.007727174566249662
9,0.9400585864981016,0.875,32,0.09696969696969697,0.06505858649810159,0.00630871141799773
