feature,group_a,group_b,n_group_a,n_group_b,mean_group_a,mean_group_b,median_group_a,median_group_b,mean_diff_a_minus_b,median_diff_a_minus_b,effect_size,abs_effect_size
agree_ge_015,FP,TN,44,113,2.409090909090909,1.008849557522124,3.0,1.0,1.4002413515687853,2.0,1.9791420335783914,1.9791420335783914
agree_ge_02,FP,TN,44,113,1.25,0.11504424778761062,1.0,0.0,1.1349557522123894,1.0,1.839262344026956,1.839262344026956
logit_p_mean,FP,TN,44,113,-1.3270076827298545,-2.046911174878859,-1.3713402341433125,-2.0634267739568544,0.7199034921490046,0.6920865398135418,1.481358533441226,1.481358533441226
p_mean,FP,TN,44,113,0.2248327248913151,0.11950258373269758,0.20247092084640825,0.11270269487723372,0.10533014115861751,0.08976822596917453,1.3618141027089732,1.3618141027089732
logit_p_max,FP,TN,44,113,-0.7775037630102782,-1.571025921831105,-1.0216512475319814,-1.5422903917279596,0.7935221588208267,0.5206391441959781,1.3205658710094699,1.3205658710094699
p_median,FP,TN,44,113,0.22090779298374888,0.12002036200255192,0.18438671654859257,0.1233380149324833,0.10088743098119696,0.06104870161610927,1.3069012814981713,1.3069012814981713
p_cat,FP,TN,44,113,0.25657984776032783,0.10080471850554085,0.238095238095238,0.0983606557377049,0.15577512925478698,0.1397345823575331,1.2273811704554904,1.2273811704554904
p_svm,FP,TN,44,113,0.26691570313445906,0.11677854627390781,0.21115353509474005,0.12549143738928,0.15013715686055124,0.08566209770546004,1.2232370070699097,1.2232370070699097
p_max,FP,TN,44,113,0.3304273343107193,0.17566242134988294,0.2647058823529412,0.1762025658610629,0.15476491296083636,0.08850331649187829,1.2063581402268526,1.2063581402268526
p_cat_x_mlp,FP,TN,44,113,0.04171023828680445,0.01375650300402161,0.043121764272613106,0.01633529354443795,0.027953735282782843,0.026786470728175155,1.0875672814917292,1.0875672814917292
p_cat_minus_mlp,FP,TN,44,113,0.1055772239811695,-0.04011976791310317,0.07630406228313309,-0.07641175054734141,0.14569699189427268,0.1527158128304745,1.0768314198315951,1.0768314198315951
p_svm_minus_mlp,FP,TN,44,113,0.11591307935530076,-0.02414594014473621,0.08796903923570423,-0.038376974467173086,0.14005901950003696,0.12634601370287732,1.0520869681950966,1.0520869681950966
p_svm_x_mlp,FP,TN,44,113,0.042633734256371486,0.016185792427056186,0.03780516790951755,0.0192787451319431,0.0264479418293153,0.018526422777574453,1.0179260593315873,1.0179260593315873
p_cat_x_svm,FP,TN,44,113,0.08039365025037709,0.013242306755296994,0.05071441099984372,0.013036400443892386,0.06715134349508009,0.03767801055595134,0.9941497867072823,0.9941497867072823
p_min,FP,TN,44,113,0.12316304737947702,0.06282496784565784,0.17168628362937727,0.0519480519480519,0.06033807953381917,0.11973823168132536,0.9471534262089832,0.9471534262089832
agree_ge_03,FP,TN,44,113,0.4318181818181818,0.008849557522123894,0.0,0.0,0.4229686242960579,0.0,0.905960910765185,0.905960910765185
p_mean_x_range,FP,TN,44,113,0.05831633541461032,0.012937293599684348,0.021818919528293252,0.01108862207679152,0.045379041814925976,0.010730297451501732,0.8925804522900047,0.8925804522900047
p_range,FP,TN,44,113,0.20726428693124221,0.1128374535042251,0.16230544290410892,0.1182848917436555,0.09442683342701712,0.04402055116045342,0.8439182893541115,0.8439182893541115
p_std,FP,TN,44,113,0.08898271339647075,0.048724260304680266,0.07237410117521044,0.05275181736140038,0.040258453091790485,0.01962228381381006,0.8319094601337794,0.8319094601337794
logit_p_svm,FP,TN,44,113,-1.1024708831107244,-2.8812838427614946,-1.3181748892313279,-1.94142455757631,1.7788129596507702,0.6232496683449822,0.7948267595641793,0.7948267595641793
logit_p_median,FP,TN,44,113,-1.3305792123078735,-2.2334289066372315,-1.486906771352309,-1.9611928211005083,0.902849694329358,0.4742860497481993,0.7546019075256618,0.7546019075256618
agree_ge_05,FP,TN,44,113,0.3181818181818182,0.008849557522123894,0.0,0.0,0.30933226065969427,0.0,0.7270088998612478,0.7270088998612478
logit_p_cat,FP,TN,44,113,-1.504726016424385,-3.360395059475765,-1.1631508098056813,-2.215573716004416,1.8556690430513798,1.052422906198735,0.6275707718074905,0.6275707718074905
logit_p_min,FP,TN,44,113,-3.9748598819869825,-6.473939573628181,-1.5737933869120906,-2.9041650800285015,2.4990796916411986,1.330371693116411,0.4878109090242737,0.4878109090242737
p_mlp,FP,TN,44,113,0.1510026237791583,0.14092448641864402,0.17636465997322354,0.1757129158314545,0.010078137360514272,0.0006517441417690228,0.1467655137905056,0.1467655137905056
logit_p_mlp,FP,TN,44,113,-3.4757459577700245,-4.036715499859257,-1.5411741004576944,-1.5456673691487586,0.5609695420892327,0.004493268691064145,0.11870440697767605,0.11870440697767605
p_cat_minus_svm,FP,TN,44,113,-0.010335855374131267,-0.015973827768366956,-0.017673855462780996,-0.007191443443823081,0.005637972394235689,-0.010482412018957915,0.04226620536023215,0.04226620536023215
