feature,level,group_a,group_b,count_group_a,count_group_b,share_group_a,share_group_b,share_diff_a_minus_b,abs_share_diff,log_odds_ratio,abs_log_odds_ratio
Диагноз,Сахарный диабет,FP,TN,4,0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,3.227725440145183,3.227725440145183
Диагноз,ДБСТ,FP,TN,3,0,0.06818181818181818,0.0,0.06818181818181818,0.06818181818181818,2.952019558740118,2.952019558740118
Диагноз,МКБ,FP,TN,1,0,0.022727272727272728,0.0,0.022727272727272728,0.022727272727272728,2.0576541874949283,2.0576541874949283
стадия ХСН перед ТП,2 ФК,FP,TN,17,13,0.38636363636363635,0.11504424778761062,0.2713193885760257,0.2713193885760257,1.5554829183116894,1.5554829183116894
КАГ до ТП,есть,FP,TN,4,3,0.09090909090909091,0.02654867256637168,0.06436041834271923,0.06436041834271923,1.25502797512622,1.25502797512622
КАГ до ТП,нет,FP,TN,40,110,0.9090909090909091,0.9734513274336283,-0.06436041834271922,0.06436041834271922,-1.25502797512622,1.25502797512622
Диагноз,Периодическая болезнь,FP,TN,0,3,0.0,0.02654867256637168,-0.02654867256637168,0.02654867256637168,-1.0363838172697002,1.0363838172697002
ИБС до ТП,нет,FP,TN,38,107,0.8636363636363636,0.9469026548672567,-0.08326629123089302,0.08326629123089302,-1.026832606273979,1.026832606273979
ИБС до ТП,есть,FP,TN,6,6,0.13636363636363635,0.05309734513274336,0.08326629123089299,0.08326629123089299,1.026832606273979,1.026832606273979
ТЭЛА до ТП,нет,FP,TN,44,113,1.0,1.0,0.0,0.0,-0.9363136477492628,0.9363136477492628
Пол,муж,FP,TN,32,58,0.7272727272727273,0.5132743362831859,0.21399839098954143,0.21399839098954143,0.9028677115420144,0.9028677115420144
Пол,жен,FP,TN,12,55,0.2727272727272727,0.48672566371681414,-0.21399839098954143,0.21399839098954143,-0.9028677115420143,0.9028677115420143
стадия ХСН перед ТП,1 ФК,FP,TN,7,35,0.1590909090909091,0.30973451327433627,-0.15064360418342718,0.15064360418342718,-0.8158719841271077,0.8158719841271077
Диагноз,ХГН,FP,TN,29,91,0.6590909090909091,0.8053097345132744,-0.1462188254223653,0.1462188254223653,-0.7592734236505279,0.7592734236505279
Диагноз,с-м Альпорта,FP,TN,0,2,0.0,0.017699115044247787,-0.017699115044247787,0.017699115044247787,-0.6909025107061214,0.6909025107061214
Донор,От живого донора родственная,FP,TN,0,2,0.0,0.017699115044247787,-0.017699115044247787,0.017699115044247787,-0.6909025107061214,0.6909025107061214
стадия ХСН перед ТП,3 ФК,FP,TN,1,6,0.022727272727272728,0.05309734513274336,-0.030370072405470634,0.030370072405470634,-0.561607159320348,0.561607159320348
ИМ до ТП,нет,FP,TN,43,111,0.9772727272727273,0.9823008849557522,-0.005028157683024892,0.005028157683024892,-0.43043802903954437,0.43043802903954437
Донор,От живого донора неродственная,FP,TN,1,2,0.022727272727272728,0.017699115044247787,0.0050281576830249405,0.0050281576830249405,0.4304380290395443,0.4304380290395443
ИМ до ТП,есть,FP,TN,1,2,0.022727272727272728,0.017699115044247787,0.0050281576830249405,0.0050281576830249405,0.4304380290395443,0.4304380290395443
стадия ХСН перед ТП,нет,FP,TN,19,59,0.4318181818181818,0.5221238938053098,-0.09030571198712795,0.09030571198712795,-0.356039597477065,0.356039597477065
Диагноз,Поликлистоз,FP,TN,3,6,0.06818181818181818,0.05309734513274336,0.015084473049074815,0.015084473049074815,0.33275821192484145,0.33275821192484145
ХНС до ТП,есть,FP,TN,24,54,0.5454545454545454,0.4778761061946903,0.06757843925985513,0.06757843925985513,0.26602384228870457,0.26602384228870457
ХНС до ТП,нет,FP,TN,20,59,0.45454545454545453,0.5221238938053098,-0.06757843925985524,0.06757843925985524,-0.26602384228870435,0.26602384228870435
Диагноз,АРМС,FP,TN,4,9,0.09090909090909091,0.07964601769911504,0.011263073209975868,0.011263073209975868,0.20067069546215105,0.20067069546215105
Донор,трупная почка,FP,TN,43,109,0.9772727272727273,0.9646017699115044,0.012670957361222923,0.012670957361222923,0.17544867750619267,0.17544867750619267
Диагноз,Подагра,FP,TN,0,1,0.0,0.008849557522123894,-0.008849557522123894,0.008849557522123894,-0.17114825619582946,0.17114825619582946
Диагноз,прочие,FP,TN,0,1,0.0,0.008849557522123894,-0.008849557522123894,0.008849557522123894,-0.17114825619582946,0.17114825619582946
ОНМК до ТП,есть,FP,TN,2,5,0.045454545454545456,0.04424778761061947,0.0012067578439259874,0.0012067578439259874,0.14878873668587292,0.14878873668587292
ОНМК до ТП,нет,FP,TN,42,108,0.9545454545454546,0.9557522123893806,-0.0012067578439259874,0.0012067578439259874,-0.14878873668587286,0.14878873668587286
