model,t_low,t_high,coverage,sens,spec,precision,f1,n_defined,n_total
svm_rbf,0.3,0.5,0.9476439790575916,0.25925925925925924,0.961038961038961,0.5384615384615384,0.35,181,191
svm_rbf,0.3,0.55,0.9319371727748691,0.23076923076923078,0.9736842105263158,0.6,0.3333333333333333,178,191
svm_rbf,0.3,0.6,0.9319371727748691,0.23076923076923078,0.9736842105263158,0.6,0.3333333333333333,178,191
svm_rbf,0.3,0.65,0.9162303664921466,0.2,0.9866666666666667,0.7142857142857143,0.3125,175,191
svm_rbf,0.35,0.5,0.9790575916230366,0.22580645161290322,0.9615384615384616,0.5384615384615384,0.3181818181818182,187,191
svm_rbf,0.35,0.55,0.9633507853403142,0.2,0.974025974025974,0.6,0.3,184,191
svm_rbf,0.35,0.6,0.9633507853403142,0.2,0.974025974025974,0.6,0.3,184,191
svm_rbf,0.35,0.65,0.9476439790575916,0.1724137931034483,0.9868421052631579,0.7142857142857143,0.2777777777777778,181,191
svm_rbf,0.4,0.5,0.9895287958115183,0.21875,0.9617834394904459,0.5384615384615384,0.3111111111111111,189,191
svm_rbf,0.4,0.55,0.9738219895287958,0.1935483870967742,0.9741935483870968,0.6,0.2926829268292683,186,191
svm_rbf,0.4,0.6,0.9738219895287958,0.1935483870967742,0.9741935483870968,0.6,0.2926829268292683,186,191
svm_rbf,0.4,0.65,0.9581151832460733,0.16666666666666666,0.9869281045751634,0.7142857142857143,0.2702702702702703,183,191
svm_rbf,0.45,0.5,0.9947643979057592,0.21212121212121213,0.9617834394904459,0.5384615384615384,0.30434782608695654,190,191
svm_rbf,0.45,0.55,0.9790575916230366,0.1875,0.9741935483870968,0.6,0.2857142857142857,187,191
svm_rbf,0.45,0.6,0.9790575916230366,0.1875,0.9741935483870968,0.6,0.2857142857142857,187,191
svm_rbf,0.45,0.65,0.9633507853403142,0.16129032258064516,0.9869281045751634,0.7142857142857143,0.2631578947368421,184,191
