k,brier_mean,brier_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,f1_mean,f1_sd,sens_mean,sens_sd,spec_mean,spec_sd,ece_mean,ece_sd
3,0.14373566275763308,0.02429882663758885,0.520380031005031,0.17530138208401838,0.8496985060135298,0.0625457971609979,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.183667444145755,0.03210899087794537
4,0.1456015442661142,0.02672108431952954,0.39030728695202377,0.08881655522355743,0.8021762096287997,0.0690511963550731,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.18288102828408065,0.03948503661846681
5,0.14121363771871803,0.027162355927227974,0.6026029023726391,0.14588001495984773,0.883841046515624,0.05668537593350893,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.1803051500922989,0.023199102441509942
6,0.1420212860415115,0.028739681164719373,0.5647721307260781,0.11421458401758074,0.8769234156206618,0.03962187933152422,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.1622197614768722,0.03432916166747876
7,0.14283690176225888,0.026368947847909274,0.5415167371746319,0.09357025935481937,0.8542755225734469,0.0678991308563787,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.16975151272326394,0.029096713243028868
8,0.13988393230886156,0.026713657782929712,0.6054375188585714,0.056567220057377,0.8752456401078426,0.05287608272366743,0.9052537587336434,0.026260988595864582,1.0,0.0,0.0,0.0,0.15347477837695053,0.021406903954323504
9,0.12157307722918431,0.03360558107966692,0.8257116993959098,0.0913320649934809,0.9352955714711095,0.05390009869539741,0.9005385464861675,0.028449520824068816,0.9299641148325358,0.08648509415209393,0.34833333333333333,0.3421947139016356,0.1605291092161026,0.038732274952274534
10,0.12157307722918431,0.03360558107966692,0.8257116993959098,0.0913320649934809,0.9352955714711095,0.05390009869539741,0.9005385464861675,0.028449520824068816,0.9299641148325358,0.08648509415209393,0.34833333333333333,0.3421947139016356,0.1605291092161026,0.038732274952274534
11,0.12157307722918431,0.03360558107966692,0.8257116993959098,0.0913320649934809,0.9352955714711095,0.05390009869539741,0.9005385464861675,0.028449520824068816,0.9299641148325358,0.08648509415209393,0.34833333333333333,0.3421947139016356,0.1605291092161026,0.038732274952274534
12,0.12157307722918431,0.03360558107966692,0.8257116993959098,0.0913320649934809,0.9352955714711095,0.05390009869539741,0.9005385464861675,0.028449520824068816,0.9299641148325358,0.08648509415209393,0.34833333333333333,0.3421947139016356,0.1605291092161026,0.038732274952274534
