feature,mean_abs_shap
ДАД перед ТП,1.166105795858601
ЛПНП перед ТП,1.129486365114983
healthy person risk,0.9171817232492923
ОТТ перед ТП,0.5309652358441458
ТГ перед ТП,0.34205103663227854
Диагноз_ХГН,0.33700195215330386
САД перед ТП,0.256349723662752
Мочевая кислота перед ТП,0.213579334091963
ЛПВП перед ТП,0.20417057438949207
ЭХО ИММЛЖ перед ТП,0.16718776087672807
ЭХО ФВ перед ТП,0.16394556359406218
ОХ перед ТП,0.15750077733771226
relative risk,0.11193509736632268
ЭХО ЛП перед ТП,0.1045418828630732
стадия ХСН перед ТП_2 ФК,0.09017729339587226
ЭХО ММЛЖ перед ТП,0.0873351671235363
QRISK3,0.062478885408454365
qrisk age,0.060684391175998935
ЭХО СДЛА перед ТП,0.03279480346667467
стадия ХСН перед ТП_1 ФК,0.03225023292921759
ХНС до ТП_есть,0.014833100929207817
ЭХО КДР перед ТП,0.011357967843001698
ЭХО ЗС перед ТП,0.00967883321510247
Пол_жен,0.0
ЭХО МЖП перед ТП,0.0
Диагноз_Периодическая болезнь,0.0
Пол_муж,0.0
Диагноз_ДБСТ,0.0
Диагноз_АРМС,0.0
Диагноз_Сахарный диабет,0.0
Диагноз_Хронический тубулоинтерстицильный нефрит,0.0
Диагноз_Хронический тубулоинтерстицильный нефрит без ГУС,0.0
Диагноз_прочие,0.0
Диагноз_с-м Альпорта,0.0
Диагноз_Подагра,0.0
Диагноз_Поликлистоз,0.0
Диагноз_МКБ,0.0
Донор_трупная почка,0.0
Донор_От живого донора родственная,0.0
Донор_От живого донора неродственная,0.0
ИБС до ТП_есть,0.0
ОНМК до ТП_есть,0.0
ОНМК до ТП_нет,0.0
ИБС до ТП_нет,0.0
ХНС до ТП_нет,0.0
ТЭЛА до ТП_нет,0.0
ТЭЛА до ТП_есть,0.0
ИМ до ТП_нет,0.0
ИМ до ТП_есть,0.0
стадия ХСН перед ТП_3 ФК,0.0
стадия ХСН перед ТП_нет,0.0
КАГ до ТП_есть,0.0
КАГ до ТП_нет,0.0
